cellid,donor_sex_label,region_label,subclass_label,class_label,layer_label
62,F,VIS,Sst,GABAergic,other
63,M,ENT,Pvalb,GABAergic,other
64,M,VIS,L6 CT CTX,Glutamatergic,L6
65,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
66,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
67,M,ENT,L2 IT ENTl,Glutamatergic,L2
68,F,ENT,L3 IT ENT,Glutamatergic,L3
69,M,ENT,NP PPP,Glutamatergic,other
70,F,ENT,L6b/CT ENT,Glutamatergic,L6
71,M,VIS,L6 CT CTX,Glutamatergic,L6
72,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
73,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
74,M,VIS,Vip,GABAergic,other
75,M,VIS,L6 CT CTX,Glutamatergic,L6
76,M,VIS,Vip,GABAergic,other
77,M,VIS,L6 CT CTX,Glutamatergic,L6
78,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
79,F,ENT,L3 IT ENT,Glutamatergic,L3
80,F,ENT,Sst,GABAergic,other
81,M,RSP,L4/5 IT CTX,Glutamatergic,L4/5
82,M,ENT,L3 IT ENT,Glutamatergic,L3
83,M,VIS,L6 CT CTX,Glutamatergic,L6
84,F,VIS,Vip,GABAergic,other
85,M,VIS,L6 CT CTX,Glutamatergic,L6
86,F,VIS,L6 IT CTX,Glutamatergic,L6
87,M,VIS,L5 IT CTX,Glutamatergic,L5
88,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
89,F,ENT,L2/3 IT ENTl,Glutamatergic,L2/3
90,M,VIS,L5/6 NP CTX,Glutamatergic,L5/6
91,M,ENT,L6b/CT ENT,Glutamatergic,L6
92,F,VIS,L6 CT CTX,Glutamatergic,L6
93,M,VIS,L6 CT CTX,Glutamatergic,L6
94,F,ENT,L6b/CT ENT,Glutamatergic,L6
95,M,VIS,Pvalb,GABAergic,other
96,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
97,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
98,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
99,M,VIS,L5 IT CTX,Glutamatergic,L5
100,M,VIS,L6 CT CTX,Glutamatergic,L6
101,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
102,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
103,F,VIS,L6 CT CTX,Glutamatergic,L6
104,M,RSP,L6 CT CTX,Glutamatergic,L6
105,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
106,F,VIS,L5/6 NP CTX,Glutamatergic,L5/6
107,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
108,F,ENT,Lamp5,GABAergic,other
109,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
110,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
111,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
112,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
113,M,VIS,L5 IT CTX,Glutamatergic,L5
114,M,VIS,L6 IT CTX,Glutamatergic,L6
115,M,VIS,L6 CT CTX,Glutamatergic,L6
116,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
117,M,VIS,Vip,GABAergic,other
118,M,RSP,L5/6 NP CTX,Glutamatergic,L5/6
119,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
120,F,RSP,L5 IT CTX,Glutamatergic,L5
121,F,ENT,L6b/CT ENT,Glutamatergic,L6
122,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
123,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
124,M,VIS,L6 CT CTX,Glutamatergic,L6
125,F,VIS,L6 CT CTX,Glutamatergic,L6
126,M,RSP,L5 IT CTX,Glutamatergic,L5
127,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
128,F,ENT,NP PPP,Glutamatergic,other
129,F,ENT,Sncg,GABAergic,other
130,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
131,F,ENT,L3 IT ENT,Glutamatergic,L3
132,F,ENT,L6b/CT ENT,Glutamatergic,L6
133,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
134,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
135,M,VIS,L5 PT CTX,Glutamatergic,L5
136,F,ENT,L2/3 IT PPP,Glutamatergic,L2/3
137,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
138,M,RSP,L4/5 IT CTX,Glutamatergic,L4/5
139,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
140,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
141,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
142,M,VIS,L5 IT CTX,Glutamatergic,L5
143,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
144,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
145,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
146,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
147,M,VIS,L6 CT CTX,Glutamatergic,L6
148,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
149,F,RSP,L6 CT CTX,Glutamatergic,L6
150,M,VIS,L6 IT CTX,Glutamatergic,L6
151,M,VIS,L6 CT CTX,Glutamatergic,L6
152,M,RSP,L6 CT CTX,Glutamatergic,L6
153,M,VIS,L6 IT CTX,Glutamatergic,L6
154,M,VIS,L6 CT CTX,Glutamatergic,L6
155,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
156,F,ENT,L5/6 IT TPE-ENT,Glutamatergic,L5/6
157,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
158,F,ENT,L3 IT ENT,Glutamatergic,L3
159,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
160,M,ENT,L2/3 IT ENTl,Glutamatergic,L2/3
161,F,VIS,L2/3 IT CTX,Glutamatergic,L2/3
162,M,VIS,L5 IT CTX,Glutamatergic,L5
163,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
164,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
165,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
166,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
167,F,ENT,L6b/CT ENT,Glutamatergic,L6
168,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
169,F,VIS,L6 CT CTX,Glutamatergic,L6
170,M,VIS,L6 IT CTX,Glutamatergic,L6
171,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
172,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
173,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
174,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
175,M,ENT,L6 IT ENTl,Glutamatergic,L6
176,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
177,M,RSP,L5 PT CTX,Glutamatergic,L5
178,M,VIS,Lamp5,GABAergic,other
179,M,VIS,Pvalb,GABAergic,other
180,M,VIS,Vip,GABAergic,other
181,M,VIS,Oligo,Non-Neuronal,other
182,M,ENT,L2/3 IT ENTl,Glutamatergic,L2/3
183,F,RSP,L5/6 NP CTX,Glutamatergic,L5/6
184,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
185,F,ENT,L2/3 IT ENTl,Glutamatergic,L2/3
186,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
187,M,RSP,L2/3 IT CTX,Glutamatergic,L2/3
188,F,ENT,Pvalb,GABAergic,other
189,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
190,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
191,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
192,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
193,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
194,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
195,M,VIS,L5 PT CTX,Glutamatergic,L5
196,F,ENT,L2 IT ENTm,Glutamatergic,L2
197,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
198,F,ENT,Sst,GABAergic,other
199,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
200,M,ENT,L6b/CT ENT,Glutamatergic,L6
201,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
202,M,VIS,L5/6 NP CTX,Glutamatergic,L5/6
203,M,ENT,L6b/CT ENT,Glutamatergic,L6
204,F,ENT,L2 IT ENTl,Glutamatergic,L2
205,F,RSP,Vip,GABAergic,other
206,F,ENT,L5/6 IT TPE-ENT,Glutamatergic,L5/6
207,M,RSP,L4/5 IT CTX,Glutamatergic,L4/5
208,M,VIS,L5 PT CTX,Glutamatergic,L5
209,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
210,M,ENT,L2 IT ENTl,Glutamatergic,L2
211,M,VIS,Pvalb,GABAergic,other
212,F,ENT,L6b/CT ENT,Glutamatergic,L6
213,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
214,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
215,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
216,M,RSP,L5 IT CTX,Glutamatergic,L5
217,M,VIS,L6 IT CTX,Glutamatergic,L6
218,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
219,M,RSP,L5/6 NP CTX,Glutamatergic,L5/6
220,F,VIS,L5/6 NP CTX,Glutamatergic,L5/6
221,M,ENT,L2 IT ENTl,Glutamatergic,L2
222,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
223,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
224,M,VIS,Pvalb,GABAergic,other
225,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
226,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
227,M,VIS,L5 IT CTX,Glutamatergic,L5
228,F,ENT,L6b/CT ENT,Glutamatergic,L6
229,M,ENT,L6 IT ENTl,Glutamatergic,L6
230,M,VIS,Sst,GABAergic,other
231,M,ENT,L2/3 IT ENTl,Glutamatergic,L2/3
232,M,RSP,L4/5 IT CTX,Glutamatergic,L4/5
233,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
234,M,ENT,L6b/CT ENT,Glutamatergic,L6
235,F,ENT,L6b CTX,Glutamatergic,L6
236,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
237,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
238,F,ENT,L6b/CT ENT,Glutamatergic,L6
239,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
240,M,VIS,Pvalb,GABAergic,other
241,F,ENT,L3 IT ENT,Glutamatergic,L3
242,M,ENT,Pvalb,GABAergic,other
243,M,RSP,L2/3 IT CTX,Glutamatergic,L2/3
244,M,RSP,L2/3 IT CTX,Glutamatergic,L2/3
245,M,VIS,L6 CT CTX,Glutamatergic,L6
246,M,VIS,Sst,GABAergic,other
247,F,RSP,L2/3 IT CTX,Glutamatergic,L2/3
248,M,RSP,Oligo,Non-Neuronal,other
249,M,VIS,L6b CTX,Glutamatergic,L6
250,M,ENT,L6b/CT ENT,Glutamatergic,L6
251,M,ENT,Vip,GABAergic,other
252,M,VIS,L6 IT CTX,Glutamatergic,L6
253,M,VIS,L5 PT CTX,Glutamatergic,L5
254,F,ENT,L3 IT ENT,Glutamatergic,L3
255,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
256,M,ENT,L5/6 IT TPE-ENT,Glutamatergic,L5/6
257,M,RSP,L6 IT CTX,Glutamatergic,L6
258,F,VIS,L2/3 IT CTX,Glutamatergic,L2/3
259,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
260,M,VIS,L5 IT CTX,Glutamatergic,L5
261,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
262,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
263,M,RSP,L4 RSP-ACA,Glutamatergic,L4
264,F,RSP,L5 IT CTX,Glutamatergic,L5
265,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
266,M,VIS,L5 IT CTX,Glutamatergic,L5
267,M,RSP,L5/6 NP CTX,Glutamatergic,L5/6
268,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
269,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
270,M,RSP,Vip,GABAergic,other
271,M,RSP,L5 IT CTX,Glutamatergic,L5
272,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
273,F,ENT,L2/3 IT PPP,Glutamatergic,L2/3
274,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
275,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
276,F,ENT,L6b/CT ENT,Glutamatergic,L6
277,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
278,M,RSP,L5 IT CTX,Glutamatergic,L5
279,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
280,M,VIS,L6 IT CTX,Glutamatergic,L6
281,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
282,F,ENT,Lamp5,GABAergic,other
283,F,ENT,L2 IT ENTl,Glutamatergic,L2
284,F,VIS,Sst,GABAergic,other
285,M,RSP,L2/3 IT CTX,Glutamatergic,L2/3
286,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
287,M,VIS,L5 PT CTX,Glutamatergic,L5
288,M,RSP,L6 CT CTX,Glutamatergic,L6
289,M,VIS,L6 IT CTX,Glutamatergic,L6
290,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
291,M,VIS,L6 CT CTX,Glutamatergic,L6
292,F,VIS,Pvalb,GABAergic,other
293,M,VIS,L6 CT CTX,Glutamatergic,L6
294,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
295,M,VIS,L6 IT CTX,Glutamatergic,L6
296,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
297,M,VIS,L5/6 NP CTX,Glutamatergic,L5/6
298,M,RSP,L5/6 NP CTX,Glutamatergic,L5/6
299,M,ENT,Vip,GABAergic,other
300,M,ENT,L6b/CT ENT,Glutamatergic,L6
301,F,ENT,L2 IT ENTl,Glutamatergic,L2
302,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
303,F,VIS,Lamp5,GABAergic,other
304,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
305,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
306,M,VIS,L6 CT CTX,Glutamatergic,L6
307,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
308,M,VIS,Vip,GABAergic,other
309,F,VIS,L5 IT CTX,Glutamatergic,L5
310,M,VIS,L6 IT CTX,Glutamatergic,L6
311,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
312,F,ENT,L3 IT ENT,Glutamatergic,L3
313,M,VIS,Sncg,GABAergic,other
314,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
315,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
316,M,VIS,Vip,GABAergic,other
317,M,VIS,L6 IT CTX,Glutamatergic,L6
318,F,VIS,L6 CT CTX,Glutamatergic,L6
319,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
320,M,VIS,Lamp5,GABAergic,other
321,F,ENT,L2/3 IT PPP,Glutamatergic,L2/3
322,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
323,F,ENT,L3 IT ENT,Glutamatergic,L3
324,M,VIS,L6 CT CTX,Glutamatergic,L6
325,M,VIS,L5 IT CTX,Glutamatergic,L5
326,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
327,M,RSP,L6 CT CTX,Glutamatergic,L6
328,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
329,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
330,M,VIS,L5 IT CTX,Glutamatergic,L5
331,F,RSP,L4/5 IT CTX,Glutamatergic,L4/5
332,M,VIS,L6 IT CTX,Glutamatergic,L6
333,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
334,M,VIS,Vip,GABAergic,other
335,F,ENT,L6b/CT ENT,Glutamatergic,L6
336,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
337,M,VIS,L5 IT CTX,Glutamatergic,L5
338,F,VIS,L2/3 IT CTX,Glutamatergic,L2/3
339,M,RSP,L5/6 NP CTX,Glutamatergic,L5/6
340,M,RSP,Vip,GABAergic,other
341,M,VIS,L5/6 NP CTX,Glutamatergic,L5/6
342,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
343,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
344,M,RSP,Sst,GABAergic,other
345,F,ENT,L3 IT ENT,Glutamatergic,L3
346,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
347,M,RSP,L6 CT CTX,Glutamatergic,L6
348,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
349,M,VIS,Lamp5,GABAergic,other
350,M,RSP,L6 CT CTX,Glutamatergic,L6
351,M,VIS,L5 IT CTX,Glutamatergic,L5
352,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
353,M,ENT,L2/3 IT ENTl,Glutamatergic,L2/3
354,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
355,M,RSP,L4 RSP-ACA,Glutamatergic,L4
356,F,VIS,L6 CT CTX,Glutamatergic,L6
357,M,RSP,L5/6 NP CTX,Glutamatergic,L5/6
358,F,VIS,L6b CTX,Glutamatergic,L6
359,M,RSP,L5 IT CTX,Glutamatergic,L5
360,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
361,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
362,F,ENT,L3 IT ENT,Glutamatergic,L3
363,F,VIS,Lamp5,GABAergic,other
364,F,RSP,L6 CT CTX,Glutamatergic,L6
365,F,VIS,L2/3 IT CTX,Glutamatergic,L2/3
366,M,VIS,L5 IT CTX,Glutamatergic,L5
367,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
368,M,RSP,L6 CT CTX,Glutamatergic,L6
369,M,RSP,L6 IT CTX,Glutamatergic,L6
370,F,VIS,Vip,GABAergic,other
371,M,VIS,L6 IT CTX,Glutamatergic,L6
372,M,ENT,L6b/CT ENT,Glutamatergic,L6
373,M,RSP,L5 IT CTX,Glutamatergic,L5
374,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
375,M,RSP,L5/6 NP CTX,Glutamatergic,L5/6
376,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
377,M,VIS,L6 CT CTX,Glutamatergic,L6
378,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
379,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
380,M,ENT,L6b/CT ENT,Glutamatergic,L6
381,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
382,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
383,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
384,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
385,M,ENT,Sst,GABAergic,other
386,M,VIS,L6 CT CTX,Glutamatergic,L6
387,F,ENT,L2 IT ENTl,Glutamatergic,L2
388,M,RSP,Pvalb,GABAergic,other
389,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
390,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
391,M,RSP,L6 IT CTX,Glutamatergic,L6
392,F,VIS,L6 CT CTX,Glutamatergic,L6
393,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
394,M,VIS,L6 IT CTX,Glutamatergic,L6
395,M,VIS,Sst Chodl,GABAergic,other
396,M,VIS,L6 IT CTX,Glutamatergic,L6
397,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
398,F,ENT,L2 IT ENTl,Glutamatergic,L2
399,M,VIS,L5 IT CTX,Glutamatergic,L5
400,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
401,M,ENT,L6b/CT ENT,Glutamatergic,L6
402,M,VIS,L6 IT CTX,Glutamatergic,L6
403,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
404,M,VIS,L6 CT CTX,Glutamatergic,L6
405,M,VIS,L6 IT CTX,Glutamatergic,L6
406,F,VIS,L2/3 IT CTX,Glutamatergic,L2/3
407,M,ENT,L2/3 IT PPP,Glutamatergic,L2/3
408,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
409,M,VIS,L6 IT CTX,Glutamatergic,L6
410,M,ENT,Sst,GABAergic,other
411,M,RSP,Sncg,GABAergic,other
412,M,VIS,L6 CT CTX,Glutamatergic,L6
413,M,ENT,L6b/CT ENT,Glutamatergic,L6
414,M,VIS,L6 CT CTX,Glutamatergic,L6
415,M,ENT,L6b/CT ENT,Glutamatergic,L6
416,M,VIS,L5 IT CTX,Glutamatergic,L5
417,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
418,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
419,M,VIS,L6 IT CTX,Glutamatergic,L6
420,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
421,M,VIS,Pvalb,GABAergic,other
422,M,VIS,L6 CT CTX,Glutamatergic,L6
423,M,VIS,L6 IT CTX,Glutamatergic,L6
424,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
425,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
426,F,RSP,L2/3 IT PPP,Glutamatergic,L2/3
427,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
428,F,ENT,L3 IT ENT,Glutamatergic,L3
429,F,RSP,L6 CT CTX,Glutamatergic,L6
430,M,VIS,L6 CT CTX,Glutamatergic,L6
431,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
432,M,ENT,Pvalb,GABAergic,other
433,M,VIS,Oligo,Non-Neuronal,other
434,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
435,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
436,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
437,M,VIS,L5 IT CTX,Glutamatergic,L5
438,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
439,F,ENT,L2/3 IT PPP,Glutamatergic,L2/3
440,M,VIS,L6 CT CTX,Glutamatergic,L6
441,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
442,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
443,M,ENT,L3 IT ENT,Glutamatergic,L3
444,M,RSP,L4 RSP-ACA,Glutamatergic,L4
445,F,ENT,L2 IT ENTl,Glutamatergic,L2
446,M,VIS,L6 CT CTX,Glutamatergic,L6
447,M,ENT,L3 IT ENT,Glutamatergic,L3
448,M,RSP,L2/3 IT CTX,Glutamatergic,L2/3
449,M,VIS,Vip,GABAergic,other
450,F,RSP,L6 CT CTX,Glutamatergic,L6
451,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
452,M,VIS,L6 CT CTX,Glutamatergic,L6
453,F,VIS,L2/3 IT CTX,Glutamatergic,L2/3
454,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
455,M,VIS,Sst,GABAergic,other
456,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
457,M,RSP,L4/5 IT CTX,Glutamatergic,L4/5
458,F,VIS,Sncg,GABAergic,other
459,F,ENT,L2/3 IT PPP,Glutamatergic,L2/3
460,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
461,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
462,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
463,M,RSP,L4 RSP-ACA,Glutamatergic,L4
464,M,VIS,L6 CT CTX,Glutamatergic,L6
465,M,VIS,L6 IT CTX,Glutamatergic,L6
466,F,VIS,L6 CT CTX,Glutamatergic,L6
467,F,ENT,L2 IT ENTm,Glutamatergic,L2
468,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
469,M,RSP,L2/3 IT PPP,Glutamatergic,L2/3
470,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
471,M,VIS,L2/3 IT CTX,Glutamatergic,L2/3
472,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
473,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
474,M,VIS,L6 CT CTX,Glutamatergic,L6
475,M,VIS,L4/5 IT CTX,Glutamatergic,L4/5
476,F,VIS,L4/5 IT CTX,Glutamatergic,L4/5
477,F,ENT,L2/3 IT PPP,Glutamatergic,L2/3
